index,Pr,In,Cp,Cl,Cn,Br,Expected Profit / customer,Market Shares,Cost
147,10,3,20,D,Lk,C,0.8281891132045678,0.3450787971685699,7.6
148,10,3,20,F,Sl,C,0.522221186062477,0.30718893297792776,8.3
149,10,3,20,F,Sp,C,0.5569151479323979,0.397796534237427,8.6
150,10,3,20,F,Lk,C,0.6177894219194802,0.5148245182662338,8.8
151,10,3,20,E,Sl,C,0.3460467858366933,0.38449642870743683,9.1
152,10,3,20,E,Sp,C,0.29184219152127633,0.48640365253546086,9.4
153,10,3,20,E,Lk,C,0.24303779124956057,0.6075944781239009,9.6
154,10,3,32,D,Sl,C,0.464078428313038,0.17188089937519926,7.3
155,10,3,32,D,Sp,C,0.5532698167009633,0.23052909029206803,7.6
156,10,3,32,D,Lk,C,0.6891106538010152,0.3132321153640978,7.8
157,10,3,32,F,Sl,C,0.4125972285561985,0.27506481903746566,8.5
158,10,3,32,F,Sp,C,0.4238191065211101,0.35318258876759195,8.8
159,10,3,32,F,Lk,C,0.4585428136017108,0.4585428136017108,9.0
160,10,3,32,E,Sl,C,0.24128494142268303,0.3446927734609761,9.3
161,10,3,32,E,Sp,C,0.1732762784611898,0.433190696152976,9.600000000000001
162,10,3,32,E,Lk,C,0.10854361370099445,0.5427180685049742,9.8
163,05,0.5,12,D,Sl,C,0.3870889340663764,0.1935444670331882,3.0
164,05,0.5,12,D,Sp,C,0.40509744675952086,0.2382926157408946,3.3
165,05,0.5,12,D,Lk,C,0.4466109284877281,0.29774061899181875,3.5
166,05,0.5,12,F,Sl,C,0.22146220610079206,0.27682775762599016,4.2
167,05,0.5,12,F,Sp,C,0.1692565982792126,0.3385131965584252,4.5
168,05,0.5,12,F,Lk,C,0.1263590207029989,0.42119673567666327,4.7
169,05,0.5,12,E,Sl,C,0.0,0.3330957861463516,5.0
170,05,0.5,12,E,Sp,C,-0.12157227680610735,0.4052409226870248,5.3
171,05,0.5,12,E,Lk,C,-0.2480727817947842,0.4961455635895684,5.5
172,05,0.5,20,D,Sl,C,0.08250371921865042,0.20625929804662588,4.6
173,05,0.5,20,D,Sp,C,0.02580329390481657,0.2580329390481643,4.8999999999999995
174,05,0.5,20,D,Lk,C,-0.03273933308424233,0.3273933308424245,5.1
175,05,0.5,20,F,Sl,C,-0.2395343325627849,0.29941791570348086,5.800000000000001
176,05,0.5,20,F,Sp,C,-0.4072114845692611,0.3701922586993281,6.1000000000000005
177,05,0.5,20,F,Lk,C,-0.602909655259057,0.46377665789158207,6.300000000000001
178,05,0.5,20,E,Sl,C,-0.5781754354978008,0.3613596471861256,6.6
179,05,0.5,20,E,Sp,C,-0.8413474992802039,0.4428144733053706,6.8999999999999995
180,05,0.5,20,E,Lk,C,-1.1421423900427685,0.5438773285917946,7.1
181,05,0.5,32,D,Sl,C,0.03896635282861587,0.19483176414307918,4.8
182,05,0.5,32,D,Sp,C,-0.024158056698690946,0.24158056698691033,5.1
183,05,0.5,32,D,Lk,C,-0.0918966194995964,0.3063220649986549,5.3
184,05,0.5,32,F,Sl,C,-0.2767688202700182,0.2767688202700182,6.0
185,05,0.5,32,F,Sp,C,-0.44014657346709607,0.33857428728238165,6.3
186,05,0.5,32,F,Lk,C,-0.6343742246899612,0.42291614979330744,6.5
187,05,0.5,32,E,Sl,C,-0.5991618998503657,0.3328677221390921,6.8
188,05,0.5,32,E,Sp,C,-0.8481451409521751,0.40387863854865486,7.1
189,05,0.5,32,E,Lk,C,-1.1363143070145885,0.49404969870199505,7.3
190,05,1,12,D,Sl,C,0.3402382371205993,0.22682549141373287,3.5
191,05,1,12,D,Sp,C,0.3352780159777832,0.2793983466481526,3.8
192,05,1,12,D,Lk,C,0.3484695873876071,0.3484695873876071,4.0
193,05,1,12,F,Sl,C,0.0971605398641869,0.32386846621395654,4.7
194,05,1,12,F,Sp,C,0.0,0.39588963933283305,5.0
195,05,1,12,F,Lk,C,-0.09785177370377304,0.4892588685188648,5.2
196,05,1,12,E,Sl,C,-0.19358872689037432,0.38717745378074864,5.5
197,05,1,12,E,Sp,C,-0.37552395178402886,0.4694049397300362,5.8
198,05,1,12,E,Lk,C,-0.5692850006778265,0.5692850006778265,6.0
199,05,1,20,D,Sl,C,-0.024329833630758888,0.24329833630758976,5.1
200,05,1,20,D,Sp,C,-0.12166627524638786,0.30416568811597006,5.3999999999999995
201,05,1,20,D,Lk,C,-0.2305480343324216,0.3842467238873696,5.6
202,05,1,20,F,Sl,C,-0.4575235180318788,0.35194116771682965,6.300000000000001
203,05,1,20,F,Sp,C,-0.6945923123469552,0.43412019521684686,6.6000000000000005
204,05,1,20,F,Lk,C,-0.9696602462462097,0.5387001368034496,6.800000000000001
205,05,1,20,E,Sl,C,-0.8838262563017394,0.4208696458579712,7.1
206,05,1,20,E,Sp,C,-1.232243637167509,0.5134348488197955,7.3999999999999995
207,05,1,20,E,Lk,C,-1.6191446037013093,0.6227479245005036,7.6
208,05,1,32,D,Sl,C,-0.06840558728646629,0.2280186242882211,5.3
209,05,1,32,D,Sp,C,-0.16940549930020088,0.2823424988336683,5.6
210,05,1,32,D,Lk,C,-0.28479567130685773,0.35599458913357224,5.8
211,05,1,32,F,Sl,C,-0.48399079431077874,0.32266052954051916,6.5
212,05,1,32,F,Sp,C,-0.7092285373747166,0.3940158540970648,6.8
213,05,1,32,F,Lk,C,-0.975546468455951,0.4877732342279755,7.0
214,05,1,32,E,Sl,C,-0.885608137444995,0.38504701628043264,7.3
215,05,1,32,E,Sp,C,-1.2105714978047941,0.4656044222326132,7.6
216,05,1,32,E,Lk,C,-1.5771891565922724,0.5632818416400973,7.8
217,05,3,12,D,Sl,C,-0.1327646952055401,0.2655293904110802,5.5
218,05,3,12,D,Sp,C,-0.26039067680665734,0.3254883460083217,5.8
219,05,3,12,D,Lk,C,-0.40438948269016106,0.40438948269016106,6.0
220,05,3,12,F,Sl,C,-0.6401566501569365,0.3765627353864332,6.7
221,05,3,12,F,Sp,C,-0.9151775000470957,0.4575887500235479,7.0
222,05,3,12,F,Lk,C,-1.2296901151247293,0.5589500523294223,7.2
223,05,3,12,E,Sl,C,-1.1098402291169778,0.4439360916467911,7.5
224,05,3,12,E,Sp,C,-1.494603100067429,0.5337868214526532,7.8
225,05,3,12,E,Lk,C,-1.9145603645989988,0.6381867881996662,8.0
226,05,3,20,D,Sl,C,-0.6029539869670105,0.28712094617476697,7.1
227,05,3,20,D,Sp,C,-0.8585550836807245,0.35773128486696865,7.3999999999999995
228,05,3,20,D,Lk,C,-1.1651145170790795,0.4481209681073383,7.6
229,05,3,20,F,Sl,C,-1.359308008214226,0.41191151764067446,8.3
230,05,3,20,F,Sp,C,-1.8155649549182986,0.5043235985884164,8.6
231,05,3,20,F,Lk,C,-2.3374920553873593,0.6151294882598313,8.8
232,05,3,20,E,Sl,C,-1.987608549460032,0.4847825730390322,9.1
233,05,3,20,E,Sp,C,-2.577708389787626,0.5858428158608241,9.4
234,05,3,20,E,Lk,C,-3.2048781323341125,0.6967126374639375,9.6
235,05,3,32,D,Sl,C,-0.6163538865223366,0.2679799506618855,7.3
236,05,3,32,D,Sp,C,-0.8596556321817819,0.3306367816083777,7.6
237,05,3,32,D,Lk,C,-1.1542193305863844,0.4122211894951373,7.8
238,05,3,32,F,Sl,C,-1.313365959573174,0.3752474170209068,8.5
239,05,3,32,F,Sp,C,-1.730890040353811,0.4554973790404765,8.8
240,05,3,32,F,Lk,C,-2.221595252115662,0.5553988130289155,9.0
241,05,3,32,E,Sl,C,-1.898303917331957,0.44146602728650153,9.3
242,05,3,32,E,Sp,C,-2.436974767403295,0.5297771233485422,9.600000000000001
243,05,3,32,E,Lk,C,-3.0263998359825894,0.630499965829706,9.8
